Crop Class ID;Crop Class Name
1;Maize (grain)
2;Maize (silage)
3;Winter wheat
4;Winter barley
5;Winter rye
6;Winter triticale & spelt
7;Spring wheat, triticale and rye
8;Spring barley
9;Spring Oat
10;Winter oilseed rape
11;Sugar Beet
12;Potato
13;Fother legumes
14;Other brassicas
15;Sunflower
16;Onion
17;Carrot
18;Grassland
19;other
21;Beans
22;other pulses
23;Clover
24;Peas
25;Salad
26;Fenel
27;Pumpkin
28;Radish
29;Other vegetables
30;Cabbage
31;Beets
32;Chickpea
33;Lentils
34;Lupin
35;Lucerne
36;Celery
37;Soybean
38;Spinach
39;Leek
40;Cauliflower
41;Cucumber
42;Melon
43;Asparagus
44;Tomato
45;Eggplant
46;Peppers
47;Greenhouses
48;Zuccini
49;Broccoli
